State,Year,Station,Men,Women,MenN,WomenN
MIC,2009,summer,6,13,2.85427634818e-06,5.78053188008e-06
MIC,2009,winter,0,0,0.0,0.0
MIC,2010,fall,2,4,9.51425449394e-07,1.77862519387e-06
MIC,2010,spring,-1,3,-4.75712724697e-07,1.3339688954e-06
MIC,2010,summer,0,2,0.0,8.89312596935e-07
MIC,2010,winter,0,0,0.0,0.0
MIC,2011,fall,0,0,0.0,0.0
MIC,2011,spring,1,2,4.75712724697e-07,8.89312596935e-07
MIC,2011,summer,2,3,9.51425449394e-07,1.3339688954e-06
MIC,2011,winter,0,0,0.0,0.0
MIC,2012,fall,0,0,0.0,0.0
MIC,2012,spring,1,3,4.75712724697e-07,1.3339688954e-06
MIC,2012,summer,1,1,4.75712724697e-07,4.4465629846800003e-07
MIC,2012,winter,0,0,0.0,0.0
MIC,2013,fall,0,0,0.0,0.0
MIC,2013,spring,1,2,4.75712724697e-07,8.89312596935e-07
MIC,2013,summer,2,3,9.51425449394e-07,1.3339688954e-06
MIC,2013,winter,0,0,0.0,0.0
MIC,2014,fall,1,2,4.75712724697e-07,8.89312596935e-07
MIC,2014,spring,0,0,0.0,0.0
MIC,2014,summer,-8,-8,-3.80570179758e-06,-3.55725038774e-06
MIC,2014,winter,0,-9,0.0,-4.0019066862099994e-06
MIC,2015,fall,7,-84,3.32998907288e-06,-3.73511290713e-05
MIC,2015,spring,0,1,0.0,4.4465629846800003e-07
MIC,2015,summer,3,-30,1.42713817409e-06,-1.3339688954e-05
MIC,2015,winter,0,0,0.0,0.0
MIC,2016,spring,1,4,4.75712724697e-07,1.77862519387e-06
MIC,2016,winter,0,0,0.0,0.0
MOR,2008,fall,0,-888,0.0,-0.000966647399033
MOR,2008,spring,-1,0,-1.16470297745e-06,0.0
MOR,2008,summer,-917,-849,-0.00106803263032,-0.000924193290291
MOR,2008,winter,-1,0,-1.16470297745e-06,0.0
